"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DPyR1","ConPrevio","items","responses"
"260",92,1,18,0,1,1,0,"p21",0
"261",49,1,19,0,1,1,0,"p21",0
"262",292,3,19,0,0,0,0,"p21",0
"263",18,1,21,1,1,1,1,"p21",0
"264",25,1,19,0,1,1,0,"p21",1
"265",95,1,19,0,1,1,0,"p21",1
"266",110,1,19,0,1,1,0,"p21",0
"267",91,1,18,0,1,1,0,"p21",0
"268",208,2,19,0,0,0,0,"p21",0
"269",167,2,19,0,0,0,0,"p21",0
"270",191,2,18,0,0,1,0,"p21",1
"271",171,2,19,0,0,1,0,"p21",0
"272",195,2,24,0,0,1,0,"p21",0
"273",263,3,21,1,0,0,1,"p21",0
"274",137,2,20,1,0,0,1,"p21",0
"275",226,2,18,0,1,1,0,"p21",0
"276",6,1,21,0,1,0,0,"p21",1
"277",316,3,20,1,1,1,1,"p21",0
"278",68,1,18,0,0,1,0,"p21",0
"279",212,2,19,0,1,1,0,"p21",0
"280",39,1,19,0,1,1,0,"p21",0
"281",286,3,19,0,1,0,0,"p21",0
"282",317,3,19,0,1,1,0,"p21",0
"283",206,2,19,0,1,1,0,"p21",0
"284",36,1,19,0,1,1,0,"p21",1
"285",10,1,20,0,1,1,0,"p21",1
"286",285,3,19,0,1,0,0,"p21",0
"287",331,3,19,1,1,1,1,"p21",0
"288",84,1,22,1,1,0,1,"p21",1
"289",46,1,19,0,1,0,0,"p21",0
"290",289,3,19,0,1,1,0,"p21",1
"291",118,1,18,0,1,1,0,"p21",0
"292",241,3,22,1,0,0,1,"p21",0
"293",198,2,20,1,0,1,1,"p21",0
"294",150,2,20,0,0,0,0,"p21",0
"295",227,2,19,0,0,1,0,"p21",0
"296",200,2,18,0,0,0,0,"p21",0
"297",274,3,19,0,1,1,0,"p21",1
"298",170,2,19,0,1,1,0,"p21",0
"299",210,2,18,0,0,0,0,"p21",0
"300",106,1,19,0,1,1,0,"p21",1
"301",266,3,19,0,1,1,0,"p21",0
"302",19,1,19,0,0,1,0,"p21",0
"303",164,2,19,0,1,1,0,"p21",0
"304",44,1,19,0,1,1,0,"p21",0
"305",207,2,18,0,0,1,0,"p21",0
"306",220,2,18,1,0,0,0,"p21",0
"307",157,2,19,0,0,0,0,"p21",0
"308",103,1,19,0,1,0,0,"p21",0
"309",99,1,19,0,1,1,0,"p21",0
"310",22,1,19,0,1,1,0,"p21",0
"311",333,3,19,0,0,0,0,"p21",0
"312",90,1,18,0,0,0,0,"p21",0
"313",262,3,20,1,0,0,1,"p21",0
"314",330,3,18,0,0,0,0,"p21",0
"315",284,3,20,1,0,0,1,"p21",0
"316",77,1,19,0,1,1,0,"p21",0
"317",16,1,21,0,0,0,1,"p21",0
"318",315,3,19,0,0,0,1,"p21",0
"319",119,1,19,0,0,1,0,"p21",1
"320",288,3,19,0,1,1,0,"p21",1
"321",278,3,19,0,1,0,0,"p21",0
"322",38,1,19,0,0,0,0,"p21",0
"323",50,1,19,0,1,1,0,"p21",0
"324",113,1,19,0,0,0,0,"p21",0
"325",218,2,18,0,1,0,0,"p21",0
"326",158,2,19,0,0,0,0,"p21",0
"327",311,3,19,0,0,0,0,"p21",0
"328",134,2,20,0,1,1,1,"p21",1
"329",305,3,18,0,0,0,0,"p21",0
"330",66,1,18,0,1,1,0,"p21",0
"331",69,1,18,0,1,1,0,"p21",0
"332",184,2,18,0,1,1,0,"p21",0
"333",337,3,18,0,0,0,0,"p21",0
"334",161,2,21,0,1,1,0,"p21",0
"335",98,1,19,0,1,0,0,"p21",1
"336",97,1,19,0,0,0,0,"p21",0
"337",154,2,19,0,0,1,0,"p21",0
"338",176,2,19,0,0,1,1,"p21",0
"339",40,1,19,0,1,1,0,"p21",0
"340",290,3,19,0,0,0,0,"p21",0
"341",12,1,20,1,1,0,1,"p21",1
"342",83,1,19,0,0,0,0,"p21",0
"343",275,3,19,0,0,0,0,"p21",0
"344",280,3,19,0,0,0,0,"p21",0
"345",123,2,22,1,1,1,1,"p21",0
"346",86,1,18,0,0,0,0,"p21",0
"347",111,1,21,1,1,1,0,"p21",1
"348",273,3,26,0,1,0,1,"p21",0
"349",30,1,19,0,1,1,0,"p21",0
