;departamen;Seccion;latMin;latMax;lonMin;lonMax
45;PAYSANDU;10a - PAYSANDU;-32,16235146;-31,73949863;-56,7413498;-56,2384758
46;PAYSANDU;8a - PAYSANDU;-32,19283828;-31,59004477;-57,8463218;-56,94106758
47;PAYSANDU;11a - PAYSANDU;-32,49003923;-32,08002299;-56,8960674;-56,28630137
48;PAYSANDU;12a - PAYSANDU;-32,44538728;-32,15770408;-57,40941536;-56,72163045
49;PAYSANDU;13a - PAYSANDU;-32,53829904;-32,14811796;-57,75887264;-57,3022444
50;PAYSANDU;4a - PAYSANDU;-32,59594057;-32,30247632;-58,1958274;-57,6070995
51;PAYSANDU;3a - PAYSANDU;-32,3547744;-32,26998708;-58,07364006;-57,97661817
52;RIO NEGRO;5a - RIO NEGRO;-32,84443471;-32,45798197;-58,19193849;-57,74391288
53;RIO NEGRO;6a - RIO NEGRO;-32,84106396;-32,56276544;-57,97694369;-57,49567
54;RIO NEGRO;7a - RIO NEGRO;-32,79324653;-32,41188604;-57,76302166;-57,21249634
55;RIO NEGRO;8a - RIO NEGRO;-32,6947861;-32,34244763;-57,28100499;-56,90653995
56;RIO NEGRO;9a - RIO NEGRO;-32,85390558;-32,3827121;-56,99437795;-56,54709785
57;RIO NEGRO;10a - RIO NEGRO;-33,03209061;-32,61061985;-57,37674706;-56,7905688
58;RIO NEGRO;11a - RIO NEGRO;-33,14272503;-32,71979833;-57,5564625;-57,08330071
59;RIO NEGRO;12a - RIO NEGRO;-33,08267255;-32,71916882;-57,89840049;-57,51783205
60;RIO NEGRO;3a - RIO NEGRO;-33,40495755;-33,06370625;-58,42330882;-58,01011302
61;RIO NEGRO;4a - RIO NEGRO;-33,13852952;-32,76659266;-58,10183436;-57,86562282
62;SORIANO;3a - SORIANO;-33,42152758;-33,11492737;-58,13673598;-57,75961003
63;SORIANO;4a - SORIANO;-33,66837942;-33,29263328;-58,40010703;-57,86349454
64;SORIANO;5a - SORIANO;-33,69904873;-33,46971259;-58,43344682;-58,1314201
65;SORIANO;6a - SORIANO;-33,6550471;-33,27606597;-57,94154686;-57,51084738
66;SORIANO;7a - SORIANO;-33,35290797;-33,01889479;-57,95785517;-57,47298741
67;SORIANO;8a - SORIANO;-33,95351985;-33,62428339;-58,07189604;-57,37963795
68;SORIANO;9a - SORIANO;-33,86943339;-33,59658892;-58,43934657;-57,93767731
69;SORIANO;10a - SORIANO;-33,83582409;-33,36416208;-57,73133387;-57,33899039
70;SORIANO;11a - SORIANO;-33,95749868;-33,3756582;-57,42887629;-57,08663291
71;SORIANO;12a - SORIANO;-33,46705616;-33,00021464;-57,57673854;-57,15441464
72;COLONIA;10a - COLONIA;-34,06249653;-33,86495384;-58,3636546;-57,93610392
73;FLORES;2a - FLORES;-33,51562877;-33,1772811;-57,01872356;-56,79305512
74;FLORES;3a - FLORES;-33,57399884;-33,10669003;-57,36210569;-56,94097162
75;FLORES;4a - FLORES;-33,93484533;-33,52904297;-57,20850344;-56,8576083
76;FLORES;5a - FLORES;-33,98476777;-33,70868988;-56,90177697;-56,59415502
77;FLORES;6a - FLORES;-33,73894364;-33,26280403;-56,86320742;-56,48332206
78;FLORES;7a - FLORES;-33,72086908;-33,43793752;-57,04084011;-56,79652135
79;FLORES;8a - FLORES;-33,90267786;-33,62916251;-56,7382823;-56,39653274
80;DURAZNO;2a - DURAZNO;-33,39223589;-33,04443791;-56,72478346;-56,19359778
81;DURAZNO;3a - DURAZNO;-33,12885444;-32,80747266;-56,48152323;-56,17903826
82;DURAZNO;11a - DURAZNO;-33,0895861;-32,79597078;-57,00081454;-56,43857155
83;DURAZNO;12a - DURAZNO;-33,2856423;-32,99069074;-57,19647764;-56,47108744
84;DURAZNO;5a - DURAZNO;-33,12742228;-32,59786557;-56,26735282;-55,75104891
85;DURAZNO;7a - DURAZNO;-32,87595399;-32,40946746;-55,79904741;-55,29146998
86;DURAZNO;8a - DURAZNO;-33,25508387;-32,87316504;-55,45157187;-55,00576935
87;DURAZNO;10a - DURAZNO;-33,49497533;-33,03425738;-56,16323522;-55,64573702
88;DURAZNO;6a - DURAZNO;-33,13186187;-32,58989163;-55,85006036;-55,5263834
89;DURAZNO;13a - DURAZNO;-33,11634388;-32,81278356;-55,65250344;-55,34147937
90;DURAZNO;14a - DURAZNO;-33,36998568;-33,07270467;-55,74575982;-55,40991744
91;DURAZNO;15a - DURAZNO;-33,50727262;-33,35294309;-56,63168862;-56,41781258
92;DURAZNO;4a - DURAZNO;-33,49031203;-33,03555043;-56,4075558;-55,94106421
93;DURAZNO;9a - DURAZNO;-33,36937538;-33,31499287;-55,67687999;-55,61438668
94;RIVERA;10a - RIVERA;-30,99137555;-30,83294248;-55,70496267;-55,54309359
95;CERRO LARGO;6a - CERRO LARGO;-32,78158517;-32,09072228;-54,84579242;-54,28720176
96;RIVERA;3a - RIVERA;-31,53717575;-31,07341447;-56,18520387;-55,47493355
97;RIVERA;2a - RIVERA;-31,26119725;-30,94168658;-55,93876119;-55,46707573
98;RIVERA;9a - RIVERA;-31,08065232;-30,89796642;-55,58984395;-55,42446513
99;ROCHA;6a - ROCHA;-33,64321219;-33,14703358;-54,1874862;-53,54099025
100;ROCHA;9a - ROCHA;-33,77852225;-33,52920111;-53,97153688;-53,5242803
101;ROCHA;5a - ROCHA;-33,88371311;-33,68922316;-53,58097729;-53,36980617
102;ROCHA;3a - ROCHA;-33,93651441;-33,48226931;-54,48119421;-53,91990661
103;ROCHA;7a - ROCHA;-34,79177318;-34,53185799;-54,553125;-54,22153874
104;ROCHA;11a - ROCHA;-34,68504025;-34,40777886;-54,27759714;-53,91347691
105;ROCHA;10a - ROCHA;-34,30090181;-33,88160739;-54,49401739;-54,02351934
106;ROCHA;8a - ROCHA;-34,49674585;-34,17880133;-54,25202603;-53,91929849
107;ROCHA;4a - ROCHA;-34,45675243;-34,01820155;-54,11310539;-53,58368709
108;ROCHA;2a - ROCHA;-34,12021929;-33,70418706;-54,06750696;-53,5012596
109;CERRO LARGO;7a - CERRO LARGO;-32,7999786;-32,29531089;-54,96820902;-54,44643958
110;SAN JOSE;5a - SAN JOSE;-34,54600908;-34,12722044;-57,15399497;-56,82122353
111;COLONIA;5a - COLONIA;-34,35566395;-34,2404376;-57,28767826;-57,08853896
112;LAVALLEJA;5a - LAVALLEJA;-34,01516469;-33,64007211;-55,3608824;-54,88354042
113;MONTEVIDEO;14a - MONTEVIDEO;-34,90049304;-34,84418965;-56,11134749;-56,02473152
114;CANELONES;18a - CANELONES;-34,87947932;-34,81750158;-56,03563399;-55,95636436
115;CANELONES;15a - CANELONES;-34,4935056;-34,35375709;-56,18589199;-55,95508509
116;CANELONES;12a - CANELONES;-34,51855729;-34,31883925;-56,09037141;-55,88622213
