"","Id","Grupo","Edad","Sexo","Dedica_AP1","Dedica_DP1","ConPrevio","p11","p21","p31","p41","p51","p61","p71","p81","p91","p101","p12","p22","p32","p42","p52","p62","p72","p82","p92","p102"
"158",180,2,18,"F",1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1
"159",293,3,19,"F",1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
"160",88,1,18,"F",1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",31,1,20,"M",0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"162",42,1,19,"F",0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"163",254,3,20,"M",1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"164",307,3,18,"F",1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0
"165",67,1,18,"F",1,1,0,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1
"166",159,2,19,"F",1,1,0,1,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"167",132,2,20,"F",0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"168",228,2,19,"F",0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0
"169",125,2,23,"M",0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
"170",71,1,18,"F",1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"171",297,3,19,"F",1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0
"172",298,3,18,"F",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"173",128,2,20,"F",1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1
"174",302,3,18,"F",1,1,0,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0
"175",189,2,18,"F",0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,1,1
"176",124,2,21,"F",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177",271,3,19,"F",1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0
"178",112,1,18,"F",1,1,0,1,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
"179",291,3,19,"F",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"180",261,3,20,"M",1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"181",329,3,19,"F",1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1
"182",33,1,19,"F",1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"183",248,3,21,"F",1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"184",102,1,19,"F",1,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0
"185",81,1,19,"F",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"186",152,2,20,"M",0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0
"187",304,3,18,"F",1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,1
